Group,Name,Slug,Logo
#,3CE,796_3ce,https://images.soco.id/4475f258-b089-402c-b366-ef3fce046f74-.jpg
A,Abib,751_abib,https://images.soco.id/59971b04-33e3-4003-a118-7780a9327412-.jpg
A,Acwell,730_acwell,https://images.soco.id/7ff943fc-230d-47c1-906f-36d2d0c7f805-.jpg
A,Adara Cosmetics,15654_adara-cosmetics,https://images.soco.id/e28553c4-d884-4b60-831e-f7b45d5d8528-.jpg
A,Aeris Beaute,584_aeris-beaute,https://images.soco.id/436ea19a-470c-49e5-ae39-8e1afb3b31a0-.jpg
A,Alatte,15703_alatte,https://images.soco.id/96796587-0f8b-425d-bc67-5e5d26af6f6c-.jpg
A,Alchemist Fragrance,15542_alchemist-fragrance,https://images.soco.id/b81cebb6-29d5-4a2f-8ac2-3da2506a991a-.jpg
A,Allglows,1350_allglows,https://images.soco.id/333c01e5-df1a-463d-af49-87e64bf54b92-.jpg
A,Amuse,15700_amuse,https://images.soco.id/d9a85cb5-72e4-42e8-91ac-5c9e56b310f6-.jpg
A,Anessa,2019_anessa,https://images.soco.id/14ac5400-c23b-4297-b694-c9c6b4c85e4c-.jpg
A,Anua,15689_anua,https://images.soco.id/e59dd342-ae97-491e-b4d0-56cdda9bfbc8-.jpg
A,Argavell,814_argavell,https://images.soco.id/2c37fdac-7000-4fab-98eb-cc766cce83f8-.jpg
A,Ariul,2086_ariul,https://images.soco.id/f1e8ffe3-31fa-4b8b-a758-e3859e34894c-.jpg
A,Artisan Professionnel,281_artisan-professionnel,https://images.soco.id/385522ff-3a65-4eb4-b09a-5f072bbca7d2-.jpg
A,Aveeno,1196_aveeno,https://images.soco.id/59962069-71fb-447c-95be-a18307087366-.jpg
A,Avoskin,504_avoskin,https://images.soco.id/3e5b31f3-9b6f-4cf0-9e17-5ee53d92597c-.jpg
A,Axis-Y,15230_axis-y,https://images.soco.id/a028ac98-ae7b-43ec-84a5-1b98a9ecec52-.jpg
A,Azarine,475_azarine,https://images.soco.id/0714d53c-5722-4daf-b51f-10bc366de0d3-.jpg
B,Balans,1371_balans,https://images.soco.id/288c9c35-f90d-4c2d-aa26-e8cebe6cd17d-.jpg
B,Banana Boat,202_banana-boat,https://images.soco.id/545e6c24-c63e-4d77-91b1-183b0f41356c-.jpg
B,banila co.,600_banila-co,https://images.soco.id/9853dc02-b899-40be-8d2c-0ce9e2f6d0b1-.jpg
B,Banobagi,1247_banobagi,https://images.soco.id/9a9e16c9-9923-455a-a1e8-81a04d7366f5-.jpg
B,barenbliss,1284_barenbliss,https://images.soco.id/4018e45b-018c-4b4d-9cc6-ceedff9847bd-.jpg
B,Base,1322_base,https://images.soco.id/2cbdc034-dc79-46c7-8f0c-76319890fe21-.jpg
B,Batiste,515_batiste,https://images.soco.id/1c46019b-1785-4de5-be5e-46e5335af73e-.jpg
B,Beauty of Joseon,2271_beauty-of-joseon,https://images.soco.id/ef19d408-fc54-469a-a4d8-c5fb93becbc3-.jpg
B,Beauty Of Majesty,15526_beauty-of-majesty,https://images.soco.id/27f000e2-2230-4e11-9db2-471ccf2c2a7c-.jpg
B,Beauty Secrets,15662_beauty-secrets,https://images.soco.id/86a316c9-832a-4a57-a998-d1ad0143b5aa-.jpg
B,Beauty Theory,1320_beauty-theory,https://images.soco.id/bc6bd4ef-8b9f-4106-adfe-bfd5903a94c4-.jpg
B,beautyblender,109_beautyblender,https://images.soco.id/118a2c9a-50ac-4130-b27f-1beaaf02daaf-.jpg
B,Benton,575_benton,https://images.soco.id/b90eb6ba-ad81-424c-87ff-764d61eee04b-.jpg
B,Bhumi,731_bhumi,https://images.soco.id/92aa86e0-d5db-48be-aceb-84dbf29db463-.jpg
B,BIES,15349_bies,https://images.soco.id/20bd3d6e-6aae-40df-9c05-3e4ed1810b3e-.jpg
B,Bio Beauty Lab,1161_bio-beauty-lab,https://images.soco.id/4217f55b-52ea-4862-ad4a-2ffcd315287a-.jpg
B,Bio Oil,192_bio-oil,https://images.soco.id/b7d5f011-72cc-4b08-a8e1-f2cf9dce14ef-.jpg
B,Bio-essence,252_bio-essence,https://images.soco.id/746cac7a-a915-4c4f-aa52-7cc659987e58-.jpg
B,Bioderma,176_bioderma,https://images.soco.id/98bd0ab2-4d62-4db3-9a07-3865dba722e2-.jpg
B,Biore,286_biore,https://images.soco.id/84d099ee-fca8-4e66-9e0c-257a62062789-.jpg
B,Biotalk,15664_biotalk,https://images.soco.id/d670e6b1-604c-42bf-8f53-3f82179750f1-.jpg
B,Biyu,2188_biyu,https://images.soco.id/78c2bf46-be6d-4362-b17b-54c9e5803ab6-.jpg
B,Blink Charm,154_blink-charm,https://images.soco.id/f25fde7d-3bc7-41cc-bbcc-f1e03f654139-.jpg
B,BLITHE,411_blithe,https://images.soco.id/34bc7814-47f5-419d-b0e4-7c8a4d618f44-.jpg
B,Blood,15576_blood,https://images.soco.id/7b60bf97-8755-424b-9ca2-62c87b6a2625-.jpg
B,Bloomka,1117_bloomka,https://images.soco.id/587e8ec7-56a0-4075-8845-f346cf7668fa-.jpg
B,BLP Beauty,237_blp-beauty,https://images.soco.id/0df86816-cbf7-4034-83a2-8c4366d84db3-.jpg
B,Bonavie,15512_bonavie,https://images.soco.id/cd1de2aa-b89e-4807-bfc5-c822eb5bcb69-.jpg
B,Botanical Essentials,1356_botanical-essentials,https://images.soco.id/38994226-630a-4abf-9efb-152d2b390283-.jpg
B,Bouquet Garni Nard,1333_bouquet-garni-nard,https://images.soco.id/e7a778fc-8e9c-4dd1-a146-2324c95255e9-.jpg
B,Breylee,1138_breylee,https://images.soco.id/f8c80198-05c7-4e49-a0e8-d6e78aa9bcf7-.jpg
B,Brighty,15579_brighty,https://images.soco.id/561c4287-9171-4be9-b7b3-f461c30d61aa-.jpg
B,Bring Green,15690_bring-green,https://images.soco.id/e86d40f9-d2d4-4cbd-b159-d94d3ef1c9d4-.jpg
B,Buttered,15672_buttered,https://images.soco.id/fb72c29b-25da-4db2-953f-eb4d72aa0c8f-.jpg
B,Buttonscarves Beauty,1292_buttonscarves,https://images.soco.id/2c10436e-74b0-4d97-9992-91433ad3ed43-.jpg
C,C Lab & Co,743_c-lab-and-co,https://images.soco.id/9ef22d3a-e8a4-487c-be62-2eb7a5c374fb-.jpg
C,Carasun,15200_carasun,https://images.soco.id/1565bdac-5dbf-4c29-bd13-08a4435fddf8-.jpg
C,Careso,15059_careso,https://images.soco.id/06df7da3-d2b6-4e56-95a0-dc9522ee891c-.jpg
C,Carl & Claire,833_carl-and-claire,https://images.soco.id/d4bdc987-4024-43a0-9594-0d042d1273ef-.jpg
C,Caudalie,1124_caudalie,https://images.soco.id/36926689-3d7b-46b3-93a5-ce3b4a5ee785-.jpg
C,CBD Professional,15485_cbd-professional,https://images.soco.id/ce3ea46f-1de3-4b24-97b9-b7e4b8b8767e-.jpg
C,Celimax,15702_celimax,https://images.soco.id/16d7bb84-c3ad-4f9e-8a1c-779e20844d6e-.jpg
C,Cell Fusion C,1020_cell-fusion-c,https://images.soco.id/b8ed3305-fd70-4bb4-8fb0-b4dfdf3118b2-.jpg
C,Celove,15671_celove,https://images.soco.id/f28ecc41-dd8e-4c77-a7d7-fc26fc074726-.jpg
C,Cetaphil,238_cetaphil,https://images.soco.id/8e7646af-8ba8-4352-90b9-bf011d6b4152-.jpg
C,CHOOSY,14837_choosy,https://images.soco.id/d0aa1b19-316f-4b3a-9c35-aad911b0d61f-.jpg
C,Cleanpop,161_cleanpop,https://images.soco.id/50375560-5e6e-457c-8b7c-d9afae971d04-.jpg
C,Clio,294_clio,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/m/294.jpg
C,Cocoon,1067_cocoon,https://images.soco.id/ebc4d2ba-03c3-4ef0-b098-0c890fb72c12-.jpg
C,COLAB Dry Shampoo,318_colab-dry-shampoo,https://images.soco.id/9b19d7c3-78f8-42f9-bdfd-a1dd00a9ce4b-.jpg
C,Colorgram,15697_colorgram,https://images.soco.id/c1a02d48-dd5d-4ab1-a455-43ee91c81831-.jpg
C,CONFITTY,1269_confitty,https://images.soco.id/37fb781b-cf5d-4400-9a22-2a6b69259313-.jpg
C,COSRX,558_cosrx,https://images.soco.id/1a59c5b7-ed1d-496a-8695-45408e5b73f5-.jpg
C,Creme and Tonic,15378_creme-and-tonic,https://images.soco.id/c56cbe11-f715-4e80-9164-9dc2a85234f9-74700840233-1635238083380.png
D,d'Alba,1482_dalba,https://images.soco.id/fb5a24e7-0074-43a4-829a-93a151be9167-.jpg
D,Dancoly,329_dancoly,https://images.soco.id/3a74e9fd-2b5b-4a5a-9f59-385e6f7babb1-.jpg
D,Dazzle Me,15599_dazzle-me,https://images.soco.id/6cd9b077-0651-4573-8bc7-8d6e875ffa81-.jpg
D,Dear Klairs,1043_dear-klairs,https://images.soco.id/bbe6f419-3942-46da-b2ea-1e4c6713c07c-.jpg
D,Dear Me Beauty,1985_dear-me-beauty,https://images.soco.id/0553ae2d-1cf6-41b3-9164-64846deb221d-.jpg
D,Deorex,15499_deorex,https://images.soco.id/d7cc6954-bf42-4455-b62c-eb9ac463072d-.jpg
D,Derma Angel,277_derma-angel,https://images.soco.id/243896eb-f3cc-4366-a122-7eccf8abc04a-.jpg
D,Dermaexpress,1328_dermaexpress,https://images.soco.id/e94085dd-01d7-47d7-b179-4ac294cccaa2-.jpg
D,Dermies,15015_dermies,https://images.soco.id/e28db775-6e24-4a92-a64f-232bf413c10c-.jpg
D,Dew It,15026_dew-it,https://images.soco.id/72622860-56ae-4225-b2d5-a4e2eecb2b0c-.jpg
D,DHC,1041_dhc,https://images.soco.id/02a4593c-8f5e-4e67-be3a-3088dbe31f08-.jpg
D,Djamujamu,15620_djamujamu,https://images.soco.id/78f0bf55-5dad-4534-b3b7-063c4908e6e5-.jpg
D,Dove,278_dove,https://images.soco.id/c23d5dfc-de12-41b5-8d8f-ddbb494f43dc-.jpg
D,Dr Bronners,763_dr-bronners,https://images.soco.id/347061b0-59e9-490a-988e-d9b8b78b79db-.jpg
D,Dr Soap,808_dr-soap,https://images.soco.id/2160d661-b1ee-4d49-8b5c-bb5d5c18eeec-.jpg
D,Dr.G,15434_drg,https://images.soco.id/33c35c99-01ea-45b7-9120-a784d032c5a5-.jpg
E,Ecotools,118_ecotools,https://images.soco.id/7d71017b-811f-4c1e-a7f5-a9e12213877b-.jpg
E,Eileen Grace,1895_eileen-grace,https://images.soco.id/23fac8d9-a443-4e21-9c0e-a69249a2ed38-.jpg
E,Elise,1946_elise,https://s3.ap-southeast-1.amazonaws.com/images.soco.id/827-Elise.png
E,Ellips,407_ellips,https://images.soco.id/7f5d4c96-6288-48ba-87dd-7a956765c88c-.jpg
E,Elmer,15626_elmer,https://images.soco.id/e8015a25-09f4-47a5-817c-3bea34241ae9-.jpg
E,Elsheskin,324_elsheskin,https://images.soco.id/9a4ae142-7de1-4e8f-ae02-bc33c27b83ea-.jpg
E,Embryolisse,1689_embryolisse,https://images.soco.id/a1d6887d-73ef-414c-af46-742f49522b37-.jpg
E,Emina,182_emina,https://images.soco.id/c0f19510-8fad-4631-a35d-269dd750a8d6-.jpg
E,Erha,321_erha,https://images.soco.id/57903752-c532-4ad7-9d50-13e039460ad7-.jpg
E,ESQA,275_esqa,https://images.soco.id/0ec2f019-5174-4b7f-94ff-d271162e2053-.jpg
E,Esscentials Indonesia,1368_esscentials-indonesia,https://images.soco.id/f087a3aa-846f-4623-bc5a-b64f77143934-.jpg
E,essenHerb,569_essenherb,https://images.soco.id/c523649a-3de6-49b6-8dc1-85a8e546fd80-.jpg
E,Etude,15575_etude,https://images.soco.id/0b53b1f1-500a-4d3f-ba6d-4f0949d40b27-.jpg
E,Eucalie,740_eucalie,https://images.soco.id/96232e39-7a93-4281-a6af-d332bb0cda55-.jpg
E,Evalash,15577_evalash,https://images.soco.id/0141b414-87d4-4085-a4b5-2a7a599cfed3-.jpg
E,Eversince,15569_eversince,https://images.soco.id/c99d3095-111e-4bf1-a02f-b7a1ea356443-.jpg
E,Eze Nails,15301_eze-nails,https://images.soco.id/d5955437-90e7-4a5c-b213-82d4a6b3d8ce-.jpg
F,Feat for Skin,1349_feat-for-skin,https://images.soco.id/26633e75-9326-4f17-969a-8d4266f10442-.jpg
F,Filimilli,15698_filimilli,https://images.soco.id/e4e2be3d-77c4-46a9-958f-d66c8cba67a9-.jpg
F,Flowhite Beauty,15673_flowhite-beauty,https://images.soco.id/22dd6bd4-bb1b-4a0b-aba2-9f045e6ebbfb-.jpg
F,Focallure,342_focallure,https://images.soco.id/c9e7e6cb-4cb1-4109-a2c7-ffa9ec786eae-.jpg
F,For Skins Sake,638_for-skins-sake,https://images.soco.id/d535fe7d-c631-4e1b-b7ea-7d4eda49abae-.jpg
F,Fordive,15555_fordive,https://images.soco.id/2a7677af-d770-42a5-a661-1da3c283169f-.jpg
F,Freeman Beauty,778_freeman-beauty,https://images.soco.id/0979d1fd-2787-4b0b-8e99-a29442a89abe-.jpg
G,Garnier,307_garnier,https://images.soco.id/8b17cd5c-86d2-4af5-a60f-b037f954de64-.jpg
G,Gentle Hour,1131_gentle-hour,https://images.soco.id/6b3b5875-3734-4b08-8907-49816a93d295-.jpg
G,Gillette,1386_gillette,https://images.soco.id/33937f31-e9c2-4803-8e62-eedd426ab192-.jpg
G,Glad2Glow,15684_glad2glow,https://images.soco.id/c8513c19-7492-40ef-a701-1a44ce75a9cf-.jpg
G,Glamfix,15659_glamfix,https://images.soco.id/1633c617-b56a-4d01-8b93-c78a41b7a054-.jpg
G,Glow Better,15470_glow-better,https://images.soco.id/3cd7ae21-30a8-4ebe-b8c9-b8690c168650-.jpg
G,Glowlabs,15663_glowlabs,https://images.soco.id/e0c58265-40ce-401d-ac31-5bb29938475c-.jpg
G,Goban,297_goban,https://images.soco.id/a62bda6e-71dd-4369-8654-469328c5e527-.jpg
G,Gorjes,15493_gorjes,https://images.soco.id/82dc00a5-812b-4245-baa7-c377e9055f6a-.jpg
G,Grace and Glow,15528_grace-and-glow,https://images.soco.id/609e21c8-3f3d-495f-bee1-fb51697602a9-.jpg
G,Guele Cosmetics,14894_guele-cosmetics,https://images.soco.id/40b3d520-3662-4cf4-a85a-5dc7808f8b2b-.jpg
H,Ha Eun Beauty,15668_ha-eun-beauty,https://images.soco.id/4ae8f46a-4f02-4711-af4e-c4546b867a08-.jpg
H,Hada Labo,288_hada-labo,https://images.soco.id/6742364c-cd58-4b95-9bf4-20b8135abe64-44527899368-1615970679736.png
H,Hale,920_hale,https://images.soco.id/8bec2dc0-bca0-46c2-a6e0-5572c515fcea-.jpg
H,Handduk By Today,15289_handduk-by-today,https://images.soco.id/470c1fdd-255f-433a-b02e-53ffc805196e-.jpg
H,Haple,989_haple,https://images.soco.id/3237de0f-5ded-4e0b-8332-dca74216bb68-.jpg
H,Harlette,705_harlette,https://images.soco.id/8cdd6ada-eaa1-475b-91d8-7b054f5f597d-.jpg
H,Hatomugi,247_hatomugi,https://images.soco.id/1cbac7f2-702a-4023-aada-f73b73bece27-.jpg
H,Hayejin,1244_hayejin,https://images.soco.id/70bf2ad7-5b49-46e3-b3c6-6a2006fa6373-27580219809-1624267876550.jpg
H,HEIMISH,576_heimish,https://images.soco.id/b53bd165-5ee3-458e-b7ae-49972a41faa2-.jpg
H,Herbal Essences,1328_herbal-essences,https://images.soco.id/8fea2c15-8036-4e34-962c-309814b9dd98-.jpg
H,Herborist,758_herborist,https://images.soco.id/9485e6e2-e5bd-47f9-98b0-1963fb88c7ab-.jpg
H,HMNS,15516_hmns,https://images.soco.id/dfcc1631-0a5d-4b8e-ad5e-3c206cbfec92-.jpg
H,Holika Holika,394_holika-holika,https://images.soco.id/b5cef268-0bf7-4885-97a7-541c579eda51-.jpg
H,House Of HUR,1076_house-of-hur,https://images.soco.id/a0efa5ba-ac04-4204-90e2-2c2726f4c23c-.jpg
I,I'm From,15048_im-from,https://images.soco.id/d4ca4d2e-42e9-4687-b974-277d2d099b94-.jpg
I,IMMEME,878_immeme,https://images.soco.id/d4f382fe-18c4-4db0-935a-e46f54643854-.jpg
I,Implora,2093_implora,https://images.soco.id/3093a61b-c673-47e9-a8d5-82905dba2719-.jpg
I,Indoganic,650_indoganic,https://images.soco.id/7e97591e-fc38-4d76-bb88-520c78de0794-.jpg
I,Innisfree,316_innisfree,https://images.soco.id/3cb8b093-7a36-476d-a4b5-42abddc756fd-.jpg
I,ISOI,15680_isoi,https://images.soco.id/1d37646e-c3e6-4a25-8917-716d39fb1428-.jpg
I,Itsy Nail,172_itsy-nail,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/m/172.jpg
J,Jacquelle,217_jacquelle,https://images.soco.id/5795395d-73bf-4160-8b01-b9c5d19ea5a5-.jpg
J,Jarte Beauty,669_jarte-beauty,https://images.soco.id/4b6521e3-79a0-429c-af58-e40bd71e8b82-.jpg
J,Jergens,1194_jergens,https://images.soco.id/b7b0a23f-6539-42ef-9a3b-894b3f188f8a-.jpg
J,Jmella,15586_jmella,https://images.soco.id/cd2026d0-ba5c-46fc-b8ce-220b9a4d32a0-.jpg
J,Joylab,633_joylab,https://images.soco.id/ca4688a5-5725-4912-853c-00ae98b35f91-.jpg
J,Jumiso,596_jumiso,https://images.soco.id/bd055583-c23c-4b4b-a9a4-4377ec851619-.jpg
K,Kaleido,15647_kaleido,https://images.soco.id/144b7a4a-3484-440c-957b-82d3b1fb4b7b-.jpg
K,Karis Cosmetics,580_karis-cosmetics,https://images.soco.id/ee9e1358-043f-4548-b923-edf90198ae56-.jpg
K,Keana Nadeshiko,1007_keana-nadeshiko,https://images.soco.id/89129a9f-8450-4cb9-985a-41a57b1fc921-.jpg
K,Kelaya,15681_kelaya,https://images.soco.id/c5754cf0-984e-4d79-8d8e-b9811ad1b2c7-.jpg
K,Kitschy,15607_kitschy,https://images.soco.id/72d3915d-a2b9-460a-b899-56302aaf9312-.jpg
K,Klavuu,521_klavuu,https://images.soco.id/c34769a2-57a3-4ea8-bc81-0e305c7d7044-.jpg
K,Kleveru,739_kleveru,https://images.soco.id/99941096-1a62-40fa-8949-386c02a5b53c-.jpg
K,KOSE,530_kose,https://images.soco.id/67eef754-41c2-453f-b1f9-351e9c7dda60-.jpg
K,Kundal,1232_kundal,https://images.soco.id/6e474736-b9b6-4d36-ae82-a7a105174212-.jpg
K,Kusuma Kosmetika,15699_kusuma-kosmetika,https://images.soco.id/9906af54-a251-4b9c-9ad4-72301761b675-.jpg
L,La'Dor,1101_lador,https://images.soco.id/ab476f07-fc2e-4ebc-b7cc-1365647c3b98-.jpg
L,Lab On Hair,15707_lab-on-hair,https://images.soco.id/e48228a3-7771-438c-8563-d50cbe7feb46-.jpg
L,Labore,15677_labore,
L,Lacoco,744_lacoco,https://images.soco.id/c3dc2df1-2acd-4b21-81f2-f230e6d91b39-.jpg
L,Lae Sa Luay,1345_lae-sa-luay,https://images.soco.id/3e2a5f4c-085c-4a9f-9c5a-006da152e169-.jpg
L,Lagom,782_lagom,https://images.soco.id/602c3e26-915c-4811-9656-9b5d45f99b0c-.jpg
L,Lamica,228_lamica,https://images.soco.id/64e02f9f-02c2-4765-a6f6-b371ad8efaa4-.jpg
L,Laneige,101_laneige,https://images.soco.id/29852942-ca11-457b-8ecb-c7dcbbe2cadb-.jpg
L,Lavie Lash,155_lavie-lash,https://images.soco.id/c99510bb-3d95-4f46-afd2-d7d9fc740950-.jpg
